,0
2345,10915
2346,11402
2347,10770
2348,9397
2349,11533
2350,10676
2351,10142
2352,6263
2353,11098
2354,9862
2355,11413
2356,8857
2357,11664
2358,11565
2359,10486
2360,10744
2361,11449
2362,10867
2363,6864
2364,9388
2365,10604
2366,10170
2367,9080
2368,9356
2369,10973
2370,10483
2371,9218
2372,9657
2373,9827
2374,10767
2375,10747
2376,8661
2377,10295
2378,7285
2379,11534
2380,9419
2381,9712
2382,10385
2383,11187
2384,9474
2385,9277
2386,10017
2387,9005
2388,10356
2389,10408
2390,11264
2391,10784
2392,10932
2393,9982
2394,9573
2395,9281
2396,9325
2397,11712
2398,8872
2399,11840
2400,10491
2401,10510
2402,9365
2403,8709
2404,11424
2405,11817
2406,8606
2407,9732
2408,11808
2409,11050
2410,9636
2411,10113
2412,4909
2413,10446
2414,9853
2415,9022
2416,11301
2417,10968
2418,8963
2419,10675
2420,8997
2421,11842
2422,10089
2423,7188
2424,10829
2425,7810
2426,10681
2427,11167
2428,9451
2429,11166
2430,12000
2431,11709
2432,8519
2433,9866
2434,10328
2435,7420
2436,10916
2437,9424
2438,10918
2439,11301
2440,11219
2441,9572
2442,9402
2443,10315
2444,11440
2445,9388
2446,9920
2447,10130
2448,9059
2449,11579
2450,10467
2451,9574
2452,9015
2453,11340
2454,9434
2455,10851
2456,10348
2457,8791
2458,10637
2459,10533
2460,10142
2461,10487
2462,11787
2463,11335
2464,11658
2465,11305
2466,11402
2467,10583
2468,11684
2469,11644
2470,11146
2471,8036
2472,10983
2473,10549
2474,11744
2475,10145
2476,10648
2477,11743
2478,10039
2479,11146
2480,11399
2481,8569
2482,10693
2483,10397
2484,11705
2485,5204
2486,5780
2487,10949
2488,10027
2489,10848
2490,10500
2491,11303
2492,11188
2493,10774
2494,11548
2495,11688
